Number,Order ID,Order Date,SKU,Product Name,Category,Qty,Selling Price,Customer City,State,Order Status
32,MS2606032,46194,SKU110,Cotton Printed Dress,Dresses,1,1399,Kochi,Kerala,Delivered
33,MS2606033,46194,SKU109,Festive Kurti,Women's Kurtis,1,1199,Jaipur,Rajasthan,Delivered
34,MS2606034,46195,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Noida,Uttar Pradesh,Delivered
35,MS2606035,46196,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Patna,Bihar,Delivered
36,MS2606036,46196,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Delhi,Delhi,Returned
37,MS2606037,46197,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Mumbai,Maharashtra,Delivered
38,MS2606038,46198,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Pune,Maharashtra,Delivered
39,MS2606039,46198,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Delhi,Delhi,Delivered
40,MS2606040,46199,SKU111,Casual Maxi Dress,Dresses,1,1599,Jaipur,Rajasthan,Delivered
41,MS2606041,46199,SKU102,Rayon Printed Kurti,Women's Kurtis,3,2247,Indore,Madhya Pradesh,Delivered
42,MS2606042,46200,SKU108,Palazzo Set,Kurta Sets,1,1899,Delhi,Delhi,Delivered
43,MS2606043,46200,SKU109,Festive Kurti,Women's Kurtis,2,2398,Lucknow,Uttar Pradesh,Delivered
44,MS2606044,46201,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Surat,Gujarat,Delivered
45,MS2606045,46201,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
46,MS2606046,46202,SKU110,Cotton Printed Dress,Dresses,2,2798,Chandigarh,Chandigarh,Delivered
47,MS2606047,46202,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Ghaziabad,Uttar Pradesh,Delivered
48,MS2606048,46203,SKU104,Straight Kurta Set,Kurta Sets,2,3398,Delhi,Delhi,Delivered
49,MS2606049,46203,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Jaipur,Rajasthan,Delivered
50,MS2606050,46203,SKU109,Festive Kurti,Women's Kurtis,1,1199,Bengaluru,Karnataka,Delivered
51,MS2606051,46174,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Delhi,Delhi,Delivered
52,MS2606052,46175,SKU108,Palazzo Set,Kurta Sets,1,1899,Jaipur,Rajasthan,Delivered
53,MS2606053,46175,SKU110,Cotton Printed Dress,Dresses,2,2798,Mumbai,Maharashtra,Delivered
54,MS2606054,46176,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Noida,Uttar Pradesh,Delivered
55,MS2606055,46177,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Lucknow,Uttar Pradesh,Delivered
56,MS2606056,46178,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Pune,Maharashtra,Delivered
57,MS2606057,46178,SKU109,Festive Kurti,Women's Kurtis,1,1199,Patna,Bihar,Delivered
58,MS2606058,46179,SKU102,Rayon Printed Kurti,Women's Kurtis,3,2247,Delhi,Delhi,Delivered
59,MS2606059,46180,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Ahmedabad,Gujarat,Returned
60,MS2606060,46180,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Surat,Gujarat,Delivered
61,MS2606061,46181,SKU111,Casual Maxi Dress,Dresses,1,1599,Indore,Madhya Pradesh,Delivered
62,MS2606062,46182,SKU107,Printed A-Line Kurti,Women's Kurtis,2,1798,Delhi,Delhi,Delivered
63,MS2606063,46182,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Jaipur,Rajasthan,Delivered
64,MS2606064,46183,SKU108,Palazzo Set,Kurta Sets,2,3798,Chandigarh,Chandigarh,Delivered
65,MS2606065,46184,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Delhi,Delhi,Delivered
66,MS2606066,46185,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Kanpur,Uttar Pradesh,Delivered
67,MS2606067,46185,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Hyderabad,Telangana,Delivered
68,MS2606068,46186,SKU110,Cotton Printed Dress,Dresses,1,1399,Kochi,Kerala,Delivered
69,MS2606069,46187,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
70,MS2606070,46187,SKU105,Embroidered Kurti,Women's Kurtis,2,1998,Ranchi,Jharkhand,Delivered
71,MS2606071,46188,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Meerut,Uttar Pradesh,Delivered
72,MS2606072,46189,SKU111,Casual Maxi Dress,Dresses,1,1599,Agra,Uttar Pradesh,Delivered
73,MS2606073,46189,SKU109,Festive Kurti,Women's Kurtis,3,3597,Delhi,Delhi,Delivered
74,MS2606074,46190,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Nagpur,Maharashtra,Delivered
75,MS2606075,46191,SKU106,Cotton Kurta Set,Kurta Sets,2,2798,Ludhiana,Punjab,Delivered
76,MS2606076,46191,SKU108,Palazzo Set,Kurta Sets,1,1899,Vadodara,Gujarat,Delivered
77,MS2606077,46192,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Delhi,Delhi,Delivered
78,MS2606078,46193,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Kolkata,West Bengal,Returned
79,MS2606079,46193,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Bhopal,Madhya Pradesh,Delivered
80,MS2606080,46194,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Ghaziabad,Uttar Pradesh,Delivered
81,MS2606081,46195,SKU109,Festive Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
82,MS2606082,46195,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Jaipur,Rajasthan,Delivered
83,MS2606083,46196,SKU110,Cotton Printed Dress,Dresses,1,1399,Mumbai,Maharashtra,Delivered
84,MS2606084,46196,SKU107,Printed A-Line Kurti,Women's Kurtis,2,1798,Noida,Uttar Pradesh,Delivered
85,MS2606085,46197,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Delhi,Delhi,Delivered
86,MS2606086,46197,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Patna,Bihar,Delivered
87,MS2606087,46198,SKU111,Casual Maxi Dress,Dresses,2,3198,Pune,Maharashtra,Delivered
88,MS2606088,46198,SKU108,Palazzo Set,Kurta Sets,1,1899,Ahmedabad,Gujarat,Delivered
89,MS2606089,46199,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Delhi,Delhi,Delivered
90,MS2606090,46199,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Jaipur,Rajasthan,Delivered
91,MS2606091,46200,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Bengaluru,Karnataka,Delivered
92,MS2606092,46200,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Indore,Madhya Pradesh,Delivered
93,MS2606093,46201,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Lucknow,Uttar Pradesh,Delivered
94,MS2606094,46201,SKU110,Cotton Printed Dress,Dresses,1,1399,Chandigarh,Chandigarh,Delivered
95,MS2606095,46202,SKU109,Festive Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Returned
96,MS2606096,46202,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Surat,Gujarat,Delivered
97,MS2606097,46203,SKU108,Palazzo Set,Kurta Sets,1,1899,Hyderabad,Telangana,Delivered
98,MS2606098,46203,SKU111,Casual Maxi Dress,Dresses,1,1599,Kochi,Kerala,Delivered
99,MS2606099,46203,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Delhi,Delhi,Delivered
100,MS2606100,46203,SKU101,Floral Cotton Kurti,Women's Kurtis,3,2397,Jaipur,Rajasthan,Delivered
101,MS2606101,46174,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Delhi,Delhi,Delivered
102,MS2606102,46174,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Jaipur,Rajasthan,Delivered
103,MS2606103,46175,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Lucknow,Uttar Pradesh,Delivered
104,MS2606104,46175,SKU109,Festive Kurti,Women's Kurtis,1,1199,Noida,Uttar Pradesh,Delivered
105,MS2606105,46176,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Pune,Maharashtra,Delivered
106,MS2606106,46176,SKU110,Cotton Printed Dress,Dresses,1,1399,Indore,Madhya Pradesh,Delivered
107,MS2606107,46177,SKU102,Rayon Printed Kurti,Women's Kurtis,3,2247,Delhi,Delhi,Delivered
108,MS2606108,46177,SKU111,Casual Maxi Dress,Dresses,1,1599,Patna,Bihar,Delivered
109,MS2606109,46178,SKU108,Palazzo Set,Kurta Sets,1,1899,Ahmedabad,Gujarat,Delivered
110,MS2606110,46178,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Delhi,Delhi,Returned
111,MS2606111,46179,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Jaipur,Rajasthan,Delivered
112,MS2606112,46179,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Chandigarh,Chandigarh,Delivered
113,MS2606113,46180,SKU109,Festive Kurti,Women's Kurtis,1,1199,Bhopal,Madhya Pradesh,Delivered
114,MS2606114,46180,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
115,MS2606115,46181,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Kanpur,Uttar Pradesh,Delivered
116,MS2606116,46181,SKU104,Straight Kurta Set,Kurta Sets,2,3398,Mumbai,Maharashtra,Delivered
117,MS2606117,46182,SKU107,Printed A-Line Kurti,Women's Kurtis,2,1798,Surat,Gujarat,Delivered
118,MS2606118,46182,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Delhi,Delhi,Delivered
119,MS2606119,46183,SKU110,Cotton Printed Dress,Dresses,1,1399,Kochi,Kerala,Delivered
120,MS2606120,46183,SKU108,Palazzo Set,Kurta Sets,2,3798,Nagpur,Maharashtra,Delivered
121,MS2606121,46184,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Ghaziabad,Uttar Pradesh,Delivered
122,MS2606122,46184,SKU109,Festive Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
123,MS2606123,46185,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Meerut,Uttar Pradesh,Delivered
124,MS2606124,46185,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Ranchi,Jharkhand,Delivered
125,MS2606125,46186,SKU111,Casual Maxi Dress,Dresses,2,3198,Jaipur,Rajasthan,Delivered
126,MS2606126,46186,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Delhi,Delhi,Delivered
127,MS2606127,46187,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Ludhiana,Punjab,Delivered
128,MS2606128,46187,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Kolkata,West Bengal,Delivered
129,MS2606129,46188,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Delhi,Delhi,Delivered
130,MS2606130,46188,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Hyderabad,Telangana,Delivered
131,MS2606131,46189,SKU101,Floral Cotton Kurti,Women's Kurtis,3,2397,Jaipur,Rajasthan,Delivered
132,MS2606132,46189,SKU108,Palazzo Set,Kurta Sets,1,1899,Pune,Maharashtra,Delivered
133,MS2606133,46190,SKU110,Cotton Printed Dress,Dresses,2,2798,Delhi,Delhi,Delivered
134,MS2606134,46190,SKU109,Festive Kurti,Women's Kurtis,1,1199,Noida,Uttar Pradesh,Returned
135,MS2606135,46191,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Patna,Bihar,Delivered
136,MS2606136,46191,SKU105,Embroidered Kurti,Women's Kurtis,2,1998,Ahmedabad,Gujarat,Delivered
137,MS2606137,46192,SKU111,Casual Maxi Dress,Dresses,1,1599,Lucknow,Uttar Pradesh,Delivered
138,MS2606138,46192,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Delhi,Delhi,Delivered
139,MS2606139,46193,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Mumbai,Maharashtra,Delivered
140,MS2606140,46193,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Surat,Gujarat,Delivered
141,MS2606141,46194,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
142,MS2606142,46194,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Jaipur,Rajasthan,Delivered
143,MS2606143,46195,SKU108,Palazzo Set,Kurta Sets,2,3798,Indore,Madhya Pradesh,Delivered
144,MS2606144,46195,SKU109,Festive Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
145,MS2606145,46196,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Bengaluru,Karnataka,Delivered
146,MS2606146,46196,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Jaipur,Rajasthan,Delivered
147,MS2606147,46197,SKU111,Casual Maxi Dress,Dresses,1,1599,Delhi,Delhi,Delivered
148,MS2606148,46197,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Agra,Uttar Pradesh,Returned
149,MS2606149,46198,SKU106,Cotton Kurta Set,Kurta Sets,2,2798,Vadodara,Gujarat,Delivered
150,MS2606150,46198,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Delhi,Delhi,Delivered
151,MS2606151,46199,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Delhi,Delhi,Delivered
152,MS2606152,46199,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Jaipur,Rajasthan,Delivered
153,MS2606153,46199,SKU109,Festive Kurti,Women's Kurtis,1,1199,Lucknow,Uttar Pradesh,Delivered
154,MS2606154,46199,SKU110,Cotton Printed Dress,Dresses,2,2798,Mumbai,Maharashtra,Delivered
155,MS2606155,46199,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Ahmedabad,Gujarat,Delivered
156,MS2606156,46200,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Delhi,Delhi,Delivered
157,MS2606157,46200,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Pune,Maharashtra,Delivered
158,MS2606158,46200,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Noida,Uttar Pradesh,Delivered
159,MS2606159,46200,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Chandigarh,Chandigarh,Delivered
160,MS2606160,46200,SKU111,Casual Maxi Dress,Dresses,1,1599,Patna,Bihar,Returned
161,MS2606161,46200,SKU108,Palazzo Set,Kurta Sets,1,1899,Delhi,Delhi,Delivered
162,MS2606162,46201,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Indore,Madhya Pradesh,Delivered
163,MS2606163,46201,SKU101,Floral Cotton Kurti,Women's Kurtis,3,2397,Jaipur,Rajasthan,Delivered
164,MS2606164,46201,SKU109,Festive Kurti,Women's Kurtis,2,2398,Hyderabad,Telangana,Delivered
165,MS2606165,46201,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Delhi,Delhi,Delivered
166,MS2606166,46201,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Kochi,Kerala,Delivered
167,MS2606167,46201,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Ghaziabad,Uttar Pradesh,Delivered
168,MS2606168,46202,SKU107,Printed A-Line Kurti,Women's Kurtis,2,1798,Jaipur,Rajasthan,Delivered
169,MS2606169,46202,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Delhi,Delhi,Delivered
170,MS2606170,46202,SKU110,Cotton Printed Dress,Dresses,1,1399,Surat,Gujarat,Delivered
171,MS2606171,46202,SKU108,Palazzo Set,Kurta Sets,2,3798,Nagpur,Maharashtra,Delivered
172,MS2606172,46202,SKU111,Casual Maxi Dress,Dresses,1,1599,Lucknow,Uttar Pradesh,Delivered
173,MS2606173,46202,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
174,MS2606174,46202,SKU106,Cotton Kurta Set,Kurta Sets,2,2798,Meerut,Uttar Pradesh,Delivered
175,MS2606175,46202,SKU109,Festive Kurti,Women's Kurtis,1,1199,Ranchi,Jharkhand,Delivered
176,MS2606176,46203,SKU104,Straight Kurta Set,Kurta Sets,2,3398,Mumbai,Maharashtra,Delivered
177,MS2606177,46203,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Delhi,Delhi,Delivered
178,MS2606178,46203,SKU105,Embroidered Kurti,Women's Kurtis,2,1998,Jaipur,Rajasthan,Delivered
179,MS2606179,46203,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Patna,Bihar,Delivered
180,MS2606180,46203,SKU107,Printed A-Line Kurti,Women's Kurtis,3,2697,Delhi,Delhi,Delivered
181,MS2606181,46203,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Ahmedabad,Gujarat,Delivered
182,MS2606182,46203,SKU108,Palazzo Set,Kurta Sets,1,1899,Bengaluru,Karnataka,Delivered
183,MS2606183,46203,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Delhi,Delhi,Returned
184,MS2606184,46203,SKU110,Cotton Printed Dress,Dresses,1,1399,Bhopal,Madhya Pradesh,Delivered
185,MS2606185,46203,SKU109,Festive Kurti,Women's Kurtis,2,2398,Chandigarh,Chandigarh,Delivered
186,MS2606186,46203,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Pune,Maharashtra,Delivered
187,MS2606187,46203,SKU111,Casual Maxi Dress,Dresses,2,3198,Delhi,Delhi,Delivered
188,MS2606188,46203,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Kanpur,Uttar Pradesh,Delivered
189,MS2606189,46203,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Kolkata,West Bengal,Delivered
190,MS2606190,46203,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Vadodara,Gujarat,Delivered
191,MS2606191,46203,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
192,MS2606192,46203,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Hyderabad,Telangana,Delivered
193,MS2606193,46203,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Jaipur,Rajasthan,Delivered
194,MS2606194,46203,SKU108,Palazzo Set,Kurta Sets,2,3798,Noida,Uttar Pradesh,Delivered
195,MS2606195,46203,SKU109,Festive Kurti,Women's Kurtis,1,1199,Kochi,Kerala,Delivered
196,MS2606196,46203,SKU110,Cotton Printed Dress,Dresses,2,2798,Delhi,Delhi,Delivered
197,MS2606197,46203,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Agra,Uttar Pradesh,Delivered
198,MS2606198,46203,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Surat,Gujarat,Delivered
199,MS2606199,46203,SKU111,Casual Maxi Dress,Dresses,1,1599,Indore,Madhya Pradesh,Delivered
200,MS2606200,46203,SKU112,Chikankari Kurti,Women's Kurtis,3,3897,Delhi,Delhi,Delivered
201,MS2606201,46174,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
202,MS2606202,46174,SKU108,Palazzo Set,Kurta Sets,2,3798,Jaipur,Rajasthan,Delivered
203,MS2606203,46175,SKU109,Festive Kurti,Women's Kurtis,1,1199,Lucknow,Uttar Pradesh,Delivered
204,MS2606204,46175,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Noida,Uttar Pradesh,Delivered
205,MS2606205,46176,SKU111,Casual Maxi Dress,Dresses,1,1599,Mumbai,Maharashtra,Delivered
206,MS2606206,46176,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Pune,Maharashtra,Delivered
207,MS2606207,46177,SKU102,Rayon Printed Kurti,Women's Kurtis,3,2247,Delhi,Delhi,Delivered
208,MS2606208,46177,SKU110,Cotton Printed Dress,Dresses,1,1399,Indore,Madhya Pradesh,Delivered
209,MS2606209,46178,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Ahmedabad,Gujarat,Delivered
210,MS2606210,46178,SKU105,Embroidered Kurti,Women's Kurtis,2,1998,Patna,Bihar,Returned
211,MS2606211,46179,SKU101,Floral Cotton Kurti,Women's Kurtis,2,1598,Jaipur,Rajasthan,Delivered
212,MS2606212,46179,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Chandigarh,Chandigarh,Delivered
213,MS2606213,46180,SKU109,Festive Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
214,MS2606214,46180,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Surat,Gujarat,Delivered
215,MS2606215,46181,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Kanpur,Uttar Pradesh,Delivered
216,MS2606216,46181,SKU108,Palazzo Set,Kurta Sets,1,1899,Hyderabad,Telangana,Delivered
217,MS2606217,46182,SKU110,Cotton Printed Dress,Dresses,2,2798,Kochi,Kerala,Delivered
218,MS2606218,46182,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
219,MS2606219,46183,SKU104,Straight Kurta Set,Kurta Sets,2,3398,Bhopal,Madhya Pradesh,Delivered
220,MS2606220,46183,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Meerut,Uttar Pradesh,Delivered
221,MS2606221,46184,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Delhi,Delhi,Delivered
222,MS2606222,46184,SKU105,Embroidered Kurti,Women's Kurtis,1,999,Ranchi,Jharkhand,Delivered
223,MS2606223,46185,SKU111,Casual Maxi Dress,Dresses,1,1599,Agra,Uttar Pradesh,Delivered
224,MS2606224,46185,SKU109,Festive Kurti,Women's Kurtis,3,3597,Delhi,Delhi,Delivered
225,MS2606225,46186,SKU103,Anarkali Kurti,Women's Kurtis,2,2398,Ludhiana,Punjab,Delivered
226,MS2606226,46186,SKU106,Cotton Kurta Set,Kurta Sets,2,2798,Vadodara,Gujarat,Delivered
227,MS2606227,46187,SKU101,Floral Cotton Kurti,Women's Kurtis,1,799,Delhi,Delhi,Delivered
228,MS2606228,46187,SKU112,Chikankari Kurti,Women's Kurtis,2,2598,Kolkata,West Bengal,Delivered
229,MS2606229,46188,SKU107,Printed A-Line Kurti,Women's Kurtis,2,1798,Jaipur,Rajasthan,Delivered
230,MS2606230,46188,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Bengaluru,Karnataka,Delivered
231,MS2606231,46189,SKU108,Palazzo Set,Kurta Sets,1,1899,Delhi,Delhi,Delivered
232,MS2606232,46189,SKU109,Festive Kurti,Women's Kurtis,1,1199,Noida,Uttar Pradesh,Returned
233,MS2606233,46190,SKU102,Rayon Printed Kurti,Women's Kurtis,1,749,Lucknow,Uttar Pradesh,Delivered
234,MS2606234,46190,SKU110,Cotton Printed Dress,Dresses,1,1399,Mumbai,Maharashtra,Delivered
235,MS2606235,46191,SKU111,Casual Maxi Dress,Dresses,2,3198,Delhi,Delhi,Delivered
236,MS2606236,46191,SKU103,Anarkali Kurti,Women's Kurtis,1,1199,Ahmedabad,Gujarat,Delivered
237,MS2606237,46192,SKU105,Embroidered Kurti,Women's Kurtis,2,1998,Patna,Bihar,Delivered
238,MS2606238,46192,SKU101,Floral Cotton Kurti,Women's Kurtis,3,2397,Jaipur,Rajasthan,Delivered
239,MS2606239,46193,SKU104,Straight Kurta Set,Kurta Sets,1,1699,Pune,Maharashtra,Delivered
240,MS2606240,46193,SKU112,Chikankari Kurti,Women's Kurtis,1,1299,Ghaziabad,Uttar Pradesh,Delivered
241,MS2606241,46194,SKU109,Festive Kurti,Women's Kurtis,2,2398,Delhi,Delhi,Delivered
242,MS2606242,46194,SKU107,Printed A-Line Kurti,Women's Kurtis,1,899,Chandigarh,Chandigarh,Delivered
243,MS2606243,46195,SKU106,Cotton Kurta Set,Kurta Sets,1,1399,Indore,Madhya Pradesh,Delivered
244,MS2606244,46195,SKU110,Cotton Printed Dress,Dresses,2,2798,Kochi,Kerala,Delivered
245,MS2606245,46196,SKU102,Rayon Printed Kurti,Women's Kurtis,2,1498,Delhi,Delhi,Delivered
